Available glacial lake inventories for the different RGI regions,,,,,,,,,,,,,,,,,,,,,,,,,
"Version 01, 2/03/2024",,,,,,,,,,,,,,,,,,,,,,,,,
RGI Region Name,No.,Reference,Coverage,Periods,URL inventory,Action/remarks,Available time stamp closest to RGI,Lead,,,,,,,,,,,,,,,,,
Alaska,1,Rick et al. (2022); https://doi.org/10.5194/tc-16-297-2022,RGI 01 (Alaska and NW Canada),1984 - 2019 with 1997 - 2001 and 2007 - 2011,https://doi.org/10.18739/A2MK6591G,"Polygons with lake outlines. Lakes classified as proglacial, ice-dammed, supraglacial, detached",2000,Armstrong,,,,,,,,,,,,,,,,,
West Canada & US,2,,,,,partly available,,Bolch,,,,,,,,,,,,,,,,,
Arctic Canada N,3,,,,,NA,,Kochtitzky,,,,,,,,,,,,,,,,,
Arctic Canada S,4,,,,,NA,,Kochtitzky,,,,,,,,,,,,,,,,,
Greenland Periph.,5,How et al. (2021); https://doi.org/10.1038/s41598-021-83509-1,Entire Greenland periphery,2017,https://catalogue.ceda.ac.uk/uuid/7ea7540135f441369716ef867d217519,,2017,Armstrong,,,,,,,,,,,,,,,,,
Iceland,6,,,,,NA,,McNabb,,,,,,,,,,,,,,,,,
Svalbard & J. Mayen,7,,,,,NA,,McNabb,,,,,,,,,,,,,,,,,
Scandinavia,8,Andreassen et al. 2022; doi:10.1017/jog.2022.20,Norway,2014; 2018-2019,https://nve.brage.unit.no/nve-xmlui/handle/11250/2828121,,2014,McNabb,,,,,,,,,,,,,,,,,
Russian Arctic,9,"Moholdt et al. 2012, doi: 10.1029/2012GL051466
Ali et al. 2023, doi: 10.1017/jog.2016.14
Carr et al. , doi: 10.5194/tc-11-2149-2017",,2000-2010 (IPY-SPIRIT images),RGI v6,,2000,McNabb,,,,,,,,,,,,,,,,,
North Asia,10,,,,,NA,,Kochtitzky,,,,,,,,,,,,,,,,,
Central Europe,11,"Buckel et al. (2018), doi: 10.1016/j.gloplacha.2018.03.003.",Austrian Alps,2009–2015,doi.pangaea.de/10.1594/PANGAEA.885931.,,,Steiner,,,,,,,,,,,,,,,,,
,,"Mölg et al. (2021), doi:10.1002/esp.5193",Swiss Alps,1980s-2006-2016,https://doi.pangaea.de/10.1594/PANGAEA.934190?format=html#download,,2006,,,,,,,,,,,,,,,,,,
,,Western Italian Alps,Italian Alps,2015,available offline,,,,,,,,,,,,,,,,,,,,
,,French Alps/Pyrenees,,,,partly available,,,,,,,,,,,,,,,,,,,
"Caucasus, Middle East",12,,Caucasus,,,NA,,,,,,,,,,,,,,,,,,,
Central Asia,13,"Wang X. et al. (2020), doi:10.5194/essd-12-2169-2020 Chen, F. et al. (2021), doi:10.5194/essd-13-741-2021.",,"1990, 2018, 2008 - 2018, 2000",doi.org/10.12072/casnw.064.2019.db doi.org/10.5281/zenodo.4275164,additional offline data available,2000,Bolch,,,,,,,,,,,,,,,,,
South Asia West,14,"Wang X. et al. (2020), doi:10.5194/essd-12-2169-2020 Chen, F. et al. (2021), doi:10.5194/essd-13-741-2021.",,"1990, 2018, 2008 - 2018, 2000",doi.org/10.12072/casnw.064.2019.db doi.org/10.5281/zenodo.4275164,additional offline data available,2000,Steiner,,,,,,,,,,,,,,,,,
South Asia East,15,"Wang X. et al. (2020), doi:10.5194/essd-12-2169-2020 Chen, F. et al. (2021), doi:10.5194/essd-13-741-2021.",,"1990, 2018, 2008 - 2018, 2000",doi.org/10.12072/casnw.064.2019.db doi.org/10.5281/zenodo.4275164,additional offline data available,2000,Bolch/Steiner,,,,,,,,,,,,,,,,,
Low Latitudes,16,Wood et al. (2021) doi: 10.1016/j.gloplacha.2021.103574,Peruvian Andes,,available offline,,,Aguayo,,,,,,,,,,,,,,,,,
Southern Andes,17,"Loriaux, Casassa (2013), doi:10.1016/j.gloplacha.2012.12.012
Wilson et al. (2018) doi: 10.1016/j.gloplacha.2018.01.004","Central and 
Patagonian Andes. ","1987-2001-2011, Landsat",available offline,,2001,Aguayo,,,,,,,,,,,,,,,,,
New Zealand,18,"Carrivick et al. (2022), doi: 10.1016/j.gloplacha.2022.103792",Southern Alps,1990-2020,available offline,,,McNabb,,,,,,,,,,,,,,,,,
Antarctic & Subarctic,19,,,,,NA,,Kochtitzky,,,,,,,,,,,,,,,,,
Global Inventory,,"Shugar et al. (2020), doi:10.1038/s41558-020-0855-4",global,"1990s, 2000, 2005, 2010, 2015",https://nsidc.org/data/HMA_GLI/versions/1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
